Length,Vial
3794842.74,1
3932371.41,1
41061531.28,1
4093131.08,2
4328419.52,2
40723839.67,2
5534547.15,3
5562999.84,3
44729539.69,3
5836650.95,4
5770954.4,4
42207319.48,4
3381984.97,5
3486191.67,5
37228638.37,5
5329603,6
5137296.95,6
40465862.04,6
3943326.97,7
3631499.77,7
38783337.64,7
4728992.55,8
5034103.7,8
37898090.31,8
4492459.97,9
4668295.14,9
37437061.84,9
3108470.44,10
2982312.54,10
38499176.42,10
5790556.6,11
4478415.49,11
40440637.84,11
5074121.54,12
5133459.85,12
38451676.92,12
4293973.48,13
4926027.77,13
39288594.36,13
5405316.4,14
4887325.04,14
44725317.67,14
3351133.59,15
3222548.03,15
37155645.11,15
5508852.65,16
5627356.06,16
41888974.01,16
5311173.15,17
5424141.98,17
41226451.15,17
4348507.49,18
4131141.09,18
42043535.74,18
4653784.12,19
4912405.81,19
39359127.59,19
4010878.02,20
3887083.59,20
38985420.31,20
5361968.52,21
4936211.81,21
37312723.42,21
4222184.83,22
3972650.93,22
37096991.33,22
5276460.3,23
5111983.33,23
41506006.93,23
5277429.61,24
4274545.65,24
38489337.57,24
2894298.38,25
2955060.03,25
37851800.74,25
5588401.02,26
5868045.32,26
44459525.14,26
4858291.72,27
4317221.28,27
37113425.18,27
3708668.68,28
3586607.95,28
36504992.67,28
3811544.95,29
3886778.32,29
37729325.25,29
4979829.08,30
5015684.12,30
39173842.58,30
4182553.67,31
4211197.49,31
39850707.93,31
3406893.27,32
3603670.48,32
37926379.41,32
4763212.9,33
4184639.81,33
41266932.11,33
4622022.83,34
5106394.72,34
40821479.13,34
3627829.79,35
3415107.11,35
34847770.86,35
5015978.94,36
4788674.89,36
41768805.6,36
5057239.12,37
5781974.67,37
42058878.04,37
5037208.12,38
4905059.78,38
38739067.96,38
4697589.19,39
4689609.05,39
39414126.07,39
3166844.08,40
3600336.31,40
37276194.26,40
4038646.24,41
3905635.8,41
39462731.89,41
5062794,42
5699133.19,42
43351504.18,42
3087492.74,43
3122315,43
39695419.64,43
5090743.5,44
5285767.48,44
43556608.12,44
6129236.79,45
6541243.84,45
44189247.93,45
3818290.94,46
3574694.83,46
40757810.01,46
4596767.05,47
4292372.77,47
37321160.78,47
3579445.95,48
3976156.16,48
38593354.33,48
3215817.19,49
2998454.05,49
36243000.11,49
4206074.53,50
4005779.47,50
39301058.95,50
4070169.11,51
4282239.4,51
38086805.41,51
5219841.99,52
5125915.02,52
42839271.88,52
4311861.12,53
4300499.48,53
39819956.09,53
3520860.8,54
3793272.15,54
37953278.92,54
3857566.73,55
4167926.57,55
39018252.54,55
4670802.62,56
4311675.36,56
39380015.28,56
5251036.91,57
5185519.76,57
40655474.29,57
3494363.7,58
3692034.75,58
37441558.6,58
4649948.57,59
4638318.98,59
37658514.95,59
3235180.84,60
3405711.13,60
35419743.05,60
5817065.79,61
5213250.04,61
42021232.33,61
3051521.92,62
2917072.16,62
37795327.5,62
4448739.98,63
4697375.49,63
35811436.92,63
3265705.91,64
3307334.89,64
35918232.22,64
5120207.53,65
5078664.11,65
41428051.1,65
4540621.25,66
4912114.66,66
39095877.75,66
5020257.56,67
5102651.63,67
42871972.27,67
3860850.06,68
3891820.83,68
40788636.06,68
5062600.87,69
5278477.79,69
42643699.68,69
4944599.42,70
4915154.94,70
39632319.04,70
4737488.69,71
4818782.99,71
38707479.16,71
5004143.02,72
5145737.84,72
41583974.22,72
4707441.02,73
4292033.77,73
41149376.31,73
4769748.41,74
5016557.11,74
40476456.43,74
4429453.97,75
4292769.33,75
36233277.33,75
5201271.07,76
5417931.1,76
41794431.52,76
4790579.65,77
5547182.11,77
39520663.45,77
4878331.76,78
4832727.45,78
41335847.59,78
4278044.88,79
4233508.09,79
39901808.39,79
4638992.33,80
4195412.13,80
36629627.29,80
4920479.68,81
5249294.5,81
39226840.15,81
4874349.43,82
4899513.64,82
38577996.83,82
4667658.59,83
4771396.03,83
39272503.8,83
4648702.27,84
4380238.52,84
39218583.15,84
4851501.28,85
5251111.23,85
38561598.57,85
3999569.08,86
4070659.79,86
37894369.47,86
3566799.52,87
3740842.7,87
39458831.9,87
4927819.58,88
4461900.11,88
39200588.07,88
3881437.12,89
3757104.49,89
40575989.23,89
4477796.99,90
4359223.48,90
43746212.46,90
5474133.8,91
5609452.45,91
41053367.58,91
5441308.46,92
5539700.81,92
40462228.39,92
4593521.1,93
5004381.46,93
40301432.52,93
3968844.74,94
4234117.82,94
42863118.23,94
4631832.28,95
4642610.62,95
38177834.09,95
5291961.05,96
5253575.64,96
42808159.54,96
4048556.27,97
4166700.7,97
37341718.84,97
2368936.92,98
2217763.32,98
33913660.42,98
4783694.08,99
4602690.88,99
41226844.38,99
4887976.28,100
4831253.24,100
39445499.16,100
3794668.33,101
4174274.93,101
36792765.09,101
5513520.47,102
5930182.03,102
38024771.27,102
4669382.34,103
4703887.72,103
40698018.25,103
5181396.18,104
5358256.14,104
43396010.16,104
3961786.21,105
3761265.5,105
39469542.22,105
4025429.88,106
4776028.57,106
41393414.37,106
4022750.96,107
4730351.61,107
37190748.94,107
